price,date,hour,day,month,year
150.41,01-01-2016,00,01,01,2016
147.2,01-01-2016,01,01,01,2016
144.45,01-01-2016,02,01,01,2016
142.89,01-01-2016,03,01,01,2016
141.97,01-01-2016,04,01,01,2016
144.54,01-01-2016,05,01,01,2016
140.96,01-01-2016,06,01,01,2016
141.05,01-01-2016,07,01,01,2016
139.4,01-01-2016,08,01,01,2016
141.23,01-01-2016,09,01,01,2016
144.81,01-01-2016,10,01,01,2016
148.21,01-01-2016,11,01,01,2016
151.42,01-01-2016,12,01,01,2016
153.44,01-01-2016,13,01,01,2016
157.57,01-01-2016,14,01,01,2016
165.19,01-01-2016,15,01,01,2016
170.05,01-01-2016,16,01,01,2016
175.37,01-01-2016,17,01,01,2016
171.43,01-01-2016,18,01,01,2016
164.54,01-01-2016,19,01,01,2016
162.34,01-01-2016,20,01,01,2016
159.04,01-01-2016,21,01,01,2016
153.71,01-01-2016,22,01,01,2016
149.13,01-01-2016,23,01,01,2016
151.39,02-01-2016,00,02,01,2016
146.06,02-01-2016,01,02,01,2016
138.16,02-01-2016,02,02,01,2016
121.24,02-01-2016,03,02,01,2016
116.65,02-01-2016,04,02,01,2016
118.94,02-01-2016,05,02,01,2016
124.92,02-01-2016,06,02,01,2016
130.99,02-01-2016,07,02,01,2016
144.31,02-01-2016,08,02,01,2016
144.5,02-01-2016,09,02,01,2016
146.8,02-01-2016,10,02,01,2016
148.36,02-01-2016,11,02,01,2016
145.88,02-01-2016,12,02,01,2016
146.89,02-01-2016,13,02,01,2016
148.18,02-01-2016,14,02,01,2016
152.31,02-01-2016,15,02,01,2016
158.93,02-01-2016,16,02,01,2016
161.04,02-01-2016,17,02,01,2016
159.67,02-01-2016,18,02,01,2016
155.8,02-01-2016,19,02,01,2016
152.22,02-01-2016,20,02,01,2016
145.51,02-01-2016,21,02,01,2016
145.42,02-01-2016,22,02,01,2016
140.73,02-01-2016,23,02,01,2016
146.98,03-01-2016,00,03,01,2016
145.88,03-01-2016,01,03,01,2016
144.87,03-01-2016,02,03,01,2016
143.3,03-01-2016,03,03,01,2016
144.22,03-01-2016,04,03,01,2016
145.51,03-01-2016,05,03,01,2016
137.7,03-01-2016,06,03,01,2016
142.75,03-01-2016,07,03,01,2016
145.14,03-01-2016,08,03,01,2016
150.38,03-01-2016,09,03,01,2016
157.64,03-01-2016,10,03,01,2016
164.9,03-01-2016,11,03,01,2016
164.9,03-01-2016,12,03,01,2016
162.33,03-01-2016,13,03,01,2016
162.33,03-01-2016,14,03,01,2016
161.78,03-01-2016,15,03,01,2016
171.06,03-01-2016,16,03,01,2016
175.66,03-01-2016,17,03,01,2016
173.36,03-01-2016,18,03,01,2016
170.14,03-01-2016,19,03,01,2016
166.19,03-01-2016,20,03,01,2016
162.88,03-01-2016,21,03,01,2016
156.54,03-01-2016,22,03,01,2016
144.68,03-01-2016,23,03,01,2016
146.7,04-01-2016,00,04,01,2016
145.33,04-01-2016,01,04,01,2016
143.03,04-01-2016,02,04,01,2016
143.12,04-01-2016,03,04,01,2016
146.34,04-01-2016,04,04,01,2016
154.06,04-01-2016,05,04,01,2016
165.55,04-01-2016,06,04,01,2016
179.61,04-01-2016,07,04,01,2016
