price,date,hour
258.86,01-01-2018,00
259.85,01-01-2018,01
256.6,01-01-2018,02
242.84,01-01-2018,03
243.23,01-01-2018,04
177.07,01-01-2018,05
174.8,01-01-2018,06
175.0,01-01-2018,07
194.27,01-01-2018,08
203.81,01-01-2018,09
243.43,01-01-2018,10
252.47,01-01-2018,11
236.84,01-01-2018,12
245.89,01-01-2018,13
253.75,01-01-2018,14
260.14,01-01-2018,15
265.75,01-01-2018,16
269.68,01-01-2018,17
268.3,01-01-2018,18
265.06,01-01-2018,19
262.5,01-01-2018,20
260.24,01-01-2018,21
256.5,01-01-2018,22
244.61,01-01-2018,23
248.54,02-01-2018,00
227.7,02-01-2018,01
243.62,02-01-2018,02
246.08,02-01-2018,03
252.96,02-01-2018,04
263.88,02-01-2018,05
273.32,02-01-2018,06
299.86,02-01-2018,07
313.92,02-01-2018,08
329.65,02-01-2018,09
344.5,02-01-2018,10
346.27,02-01-2018,11
339.78,02-01-2018,12
335.25,02-01-2018,13
353.74,02-01-2018,14
374.09,02-01-2018,15
409.68,02-01-2018,16
416.76,02-01-2018,17
371.53,02-01-2018,18
335.06,02-01-2018,19
303.6,02-01-2018,20
283.64,02-01-2018,21
275.18,02-01-2018,22
271.35,02-01-2018,23
266.13,03-01-2018,00
261.12,03-01-2018,01
257.69,03-01-2018,02
257.39,03-01-2018,03
259.26,03-01-2018,04
269.56,03-01-2018,05
277.81,03-01-2018,06
284.09,03-01-2018,07
286.54,03-01-2018,08
287.32,03-01-2018,09
288.7,03-01-2018,10
287.03,03-01-2018,11
286.83,03-01-2018,12
289.39,03-01-2018,13
293.02,03-01-2018,14
299.39,03-01-2018,15
307.44,03-01-2018,16
309.99,03-01-2018,17
302.04,03-01-2018,18
295.86,03-01-2018,19
288.21,03-01-2018,20
283.89,03-01-2018,21
276.04,03-01-2018,22
267.99,03-01-2018,23
265.69,04-01-2018,00
263.04,04-01-2018,01
259.99,04-01-2018,02
260.19,04-01-2018,03
261.27,04-01-2018,04
265.3,04-01-2018,05
275.41,04-01-2018,06
298.89,04-01-2018,07
356.55,04-01-2018,08
343.48,04-01-2018,09
368.82,04-01-2018,10
353.8,04-01-2018,11
348.98,04-01-2018,12
346.72,04-01-2018,13
351.93,04-01-2018,14
371.57,04-01-2018,15
383.36,04-01-2018,16
372.36,04-01-2018,17
344.07,04-01-2018,18
313.03,04-01-2018,19
302.33,04-01-2018,20
297.32,04-01-2018,21
291.03,04-01-2018,22
275.51,04-01-2018,23
269.01,05-01-2018,00
264.59,05-01-2018,01
260.37,05-01-2018,02
260.37,05-01-2018,03
264.1,05-01-2018,04
271.77,05-01-2018,05
281.49,05-01-2018,06
299.08,05-01-2018,07
323.84,05-01-2018,08
348.11,05-01-2018,09
369.33,05-01-2018,10
368.94,05-01-2018,11
368.94,05-01-2018,12
368.64,05-01-2018,13
323.64,05-01-2018,14
368.54,05-01-2018,15
369.43,05-01-2018,16
369.03,05-01-2018,17
334.06,05-01-2018,18
316.86,05-01-2018,19
309.59,05-01-2018,20
307.04,05-01-2018,21
299.08,05-01-2018,22
291.22,05-01-2018,23
289.28,06-01-2018,00
280.44,06-01-2018,01
276.81,06-01-2018,02
275.04,06-01-2018,03
276.51,06-01-2018,04
281.91,06-01-2018,05
289.58,06-01-2018,06
298.12,06-01-2018,07
298.42,06-01-2018,08
303.52,06-01-2018,09
313.25,06-01-2018,10
322.78,06-01-2018,11
316.0,06-01-2018,12
312.27,06-01-2018,13
312.07,06-01-2018,14
324.64,06-01-2018,15
388.39,06-01-2018,16
406.57,06-01-2018,17
338.4,06-01-2018,18
