Date,Temperatur,Nederbord
2010-01-01,-8.9,0.0
2010-01-02,-8.3,0.0
2010-01-03,-12.7,0.0
2010-01-04,-4.4,1.3
2010-01-05,-4.4,6.0
2010-01-06,-5.7,1.1
2010-01-07,-9.1,0.1
2010-01-08,-12.7,0.0
2010-01-09,-8.1,0.0
2010-01-10,-2.5,0.0
2010-01-11,-3.0,0.0
2010-01-12,-4.2,0.0
2010-01-13,-1.8,0.0
2010-01-14,-1.6,0.0
2010-01-15,-3.4,0.0
2010-01-16,-2.4,0.0
2010-01-17,-2.3,1.7
2010-01-18,-2.0,1.6
2010-01-19,-1.5,1.5
2010-01-20,-2.9,1.4
2010-01-21,-2.5,0.0
2010-01-22,-2.4,0.0
2010-01-23,-6.1,0.0
2010-01-24,-6.8,0.0
2010-01-25,-9.2,0.0
2010-01-26,-10.8,0.0
2010-01-27,-4.3,11.3
2010-01-28,-3.1,0.0
2010-01-29,-9.3,0.2
2010-01-30,-12.6,0.1
2010-01-31,-9.7,1.5
2010-02-01,-2.5,1.9
2010-02-02,-4.0,11.2
2010-02-03,-1.8,3.5
2010-02-04,-3.9,0.0
2010-02-05,-1.9,0.0
2010-02-06,-2.6,0.0
2010-02-07,-5.8,0.0
2010-02-08,-6.9,0.0
2010-02-09,-5.1,0.0
2010-02-10,-4.1,0.0
2010-02-11,-4.8,0.0
2010-02-12,-6.0,5.2
2010-02-13,-4.7,0.4
2010-02-14,-3.8,0.0
2010-02-15,-3.7,0.6
2010-02-16,-2.4,1.7
2010-02-17,-2.7,0.0
2010-02-18,-2.2,6.6
2010-02-19,-0.8,18.4
2010-02-20,-0.4,5.5
2010-02-21,-6.2,0.7
2010-02-22,-6.4,3.2
2010-02-23,-4.0,0.4
2010-02-24,-5.0,2.3
2010-02-25,-0.7,3.1
2010-02-26,1.9,1.5
2010-02-27,1.3,1.4
2010-02-28,2.5,2.6
2010-03-01,0.1,2.4
2010-03-02,-2.7,0.0
2010-03-03,-1.8,0.0
2010-03-04,-5.9,0.0
2010-03-05,-7.6,0.0
2010-03-06,-5.3,0.0
2010-03-07,-3.0,0.0
2010-03-08,-2.8,0.0
2010-03-09,-1.3,0.0
2010-03-10,-2.8,0.0
2010-03-11,-1.0,0.0
2010-03-12,0.4,1.1
2010-03-13,-0.9,0.1
2010-03-14,-1.0,0.8
2010-03-15,-1.8,0.0
2010-03-16,-2.2,0.1
2010-03-17,1.7,0.2
2010-03-18,4.3,0.0
2010-03-19,4.9,1.2
2010-03-20,4.5,4.7
2010-03-21,4.4,0.0
2010-03-22,1.2,0.1
2010-03-23,4.4,2.2
2010-03-24,4.9,0.0
2010-03-25,6.1,0.0
